problem,data,model,model_label,N,seed,test_fe,val_fe,best_epoch,epochs_run,w,n_params
Fourier(25),fourier25,nn_only,NN-only,128,6,0.1074,0.1075,400,,,23091.0
Fourier(25),fourier25,nn_only,NN-only,128,7,0.1094,0.1085,160,,,23091.0
Fourier(25),fourier25,nn_only,NN-only,128,8,0.1133,0.1129,390,,,23091.0
Fourier(25),fourier25,nn_only,NN-only,128,9,0.1159,0.1164,400,,,23091.0
Fourier(25),fourier25,peds,PEDS físico,256,0,0.0746,0.0709,90,,,23066.0
Fourier(25),fourier25,peds,PEDS físico,256,1,0.0745,0.0708,100,,,23066.0
Fourier(25),fourier25,peds,PEDS físico,256,2,0.0737,0.0701,380,,,23066.0
Fourier(25),fourier25,peds,PEDS físico,256,3,0.0745,0.0709,100,,,23066.0
Fourier(25),fourier25,peds,PEDS físico,256,4,0.0746,0.071,90,,,23066.0
Fourier(25),fourier25,peds,PEDS físico,256,5,0.0747,0.0709,100,,,23066.0
Fourier(25),fourier25,peds,PEDS físico,256,6,0.0748,0.0711,90,,,23066.0
Fourier(25),fourier25,peds,PEDS físico,256,7,0.0746,0.0709,90,,,23066.0
Fourier(25),fourier25,peds,PEDS físico,256,8,0.0737,0.07,390,,,23066.0
Fourier(25),fourier25,peds,PEDS físico,256,9,0.0748,0.0712,100,,,23066.0
Fourier(25),fourier25,peds_afim,PEDS-afim,256,0,0.2044,0.1964,400,,,23092.0
Fourier(25),fourier25,peds_afim,PEDS-afim,256,1,0.2292,0.2247,400,,,23092.0
Fourier(25),fourier25,peds_afim,PEDS-afim,256,2,0.2154,0.2148,400,,,23092.0
Fourier(25),fourier25,peds_afim,PEDS-afim,256,3,0.2181,0.2397,400,,,23092.0
Fourier(25),fourier25,peds_afim,PEDS-afim,256,4,0.224,0.2279,400,,,23092.0
Fourier(25),fourier25,peds_afim,PEDS-afim,256,5,0.2204,0.2286,400,,,23092.0
Fourier(25),fourier25,peds_afim,PEDS-afim,256,6,0.0945,0.0957,400,,,23092.0
Fourier(25),fourier25,peds_afim,PEDS-afim,256,7,0.0906,0.0903,400,,,23092.0
Fourier(25),fourier25,peds_afim,PEDS-afim,256,8,0.2316,0.2375,400,,,23092.0
Fourier(25),fourier25,peds_afim,PEDS-afim,256,9,0.1358,0.1373,400,,,23092.0
Fourier(25),fourier25,nn_only,NN-only,256,0,0.1067,0.1061,380,,,23091.0
Fourier(25),fourier25,nn_only,NN-only,256,1,0.1122,0.1124,400,,,23091.0
Fourier(25),fourier25,nn_only,NN-only,256,2,0.1099,0.1102,400,,,23091.0
Fourier(25),fourier25,nn_only,NN-only,256,3,0.1059,0.1044,400,,,23091.0
Fourier(25),fourier25,nn_only,NN-only,256,4,0.108,0.1086,380,,,23091.0
Fourier(25),fourier25,nn_only,NN-only,256,5,0.1038,0.1048,360,,,23091.0
